"According to the Levies Collective Agreement mentioned, what is the statutory obligation of an employer regarding levy contributions?","To remit all levy contributions, including both the employer's and employees' portions, to the Council’s registered bank account."
"Under the Levies Collective Agreement, Gazette No. 42975, when are levy payments due?",The payments are due on the 10th day of the month.
"What legal act, in addition to the Levies Collective Agreement, governs the calculation of interest on overdue levy payments?",The Prescribed Rate of Interest Act 55 of 1975.
What is the primary function of an ICT Security Manager as described in the City Power vacancy bulletin?,"To create and develop security measures to safeguard information against accidental or unauthorized modification, destruction, or disclosure."
"In the context of the City Power FAQs, under what condition can a consumer's electricity supply be disconnected regarding meter readings?",The supply can be disconnected if two consecutive meter readings are missed.
"What organization provides a list of accredited skills development providers and assessment centers in South Africa, as mentioned in an email from Central Office?",The Quality Council for Trades and Occupations (QCTO).
"In the context of electrical formulas provided, what is the relationship expressed by the equation for series resistance, $R_t$?",The total resistance is the sum of the individual resistances: $R_t = R_1+R_2+...+R_n$.
"According to the provided electrical engineering notes, what is the term for the process where the temperature is kept constant as pressure increases during compression?",An isothermal process.
What is the formula for calculating the efficiency of a DC machine?,Efficiency is calculated as (Output Power / Input Power) x 100.
"In electrical engineering, the formula for calculating total power ($P_f$) in a three-phase system is $P_f = \sqrt{3} \times I_L \times$ _____.",$\cos\phi$
What is the purpose of laminating the iron parts of DC machines?,To reduce eddy current losses.
"According to Faraday's law of electromagnetic induction, an electromotive force (e) is induced when there is a change in what quantity over time?","The magnetic flux, expressed as $e = N(d\Phi/dt)$."
"In AC circuit analysis, what is the formula for calculating the impedance (Z) of a series RLC circuit?",$Z = \sqrt{R^2 + (X_L - X_C)^2}$
"What does the term 'fugacity' represent in thermodynamics, particularly for a gas at very high pressure?","It is a measure of the effective pressure of a real gas, used to correct for non-ideal behavior in thermodynamic calculations."
What is the purpose of a relay in an electrical protection system?,A relay is a device that detects a fault in the system and then provides information to the circuit breaker to trip the circuit.
The Leonard method is used for speed control of which type of electric motor?,A DC motor.
What is defined as the work done per unit charge to maintain a potential difference in a circuit?,Electromotive force (EMF).
What does Kirchhoff's junction rule state about the currents entering and leaving a junction?,The algebraic sum of currents entering a junction is equal to the algebraic sum of currents leaving it ($\sum I_{in} = \sum I_{out}$).
"In the context of South African labour law, what body is responsible for conciliating and arbitrating unfair dismissal disputes?","The Commission for Conciliation, Mediation and Arbitration (CCMA)."
