"In Visual Basic, what is the purpose of the `ReDim Preserve` statement?",It re-sizes an array while keeping its existing data intact.
What is the primary function of an automatic star-delta starter in motor control?,It reduces the initial inrush current during motor startup to protect the motor.
"In fault analysis of a voltage stabilizer, what reading on an ohmmeter indicates a dead short circuit?",A reading of 0 ? indicates a dead short circuit.
What is the function of a surge tank in a hydroelectric power plant?,It absorbs pressure fluctuations in the penstock to protect the system.
"In psychrometrics, the Sensible Heat Ratio (SHR) is calculated by dividing the sensible heat load ($Q_s$) by the _____.",total heat load ($Q_t$)
What is the formula for calculating the slip (S) in an AC induction motor?,"$S = \frac{n_s - n_r}{n_s}$, where $n_s$ is synchronous speed and $n_r$ is rotor speed."
What is the formula for calculating the synchronous speed ($n_s$) of an AC machine?,"$n_s = \frac{120f}{P}$, where f is the frequency and P is the number of poles."
"According to Faraday's Law, the induced electromotive force ($\mathcal{E}$) is equal to the negative rate of change of what quantity?","Magnetic flux ($\Phi$), as shown by the formula $\mathcal{E} = -\frac{d\Phi}{dt}$."
"In a balanced Wheatstone bridge used for resistance measurement, what is the formula to find the unknown resistance $R_x$?",$R_x = \frac{R_2}{R_1} \cdot R_3$.
What is the key principle of De Morgan's Theorem for the expression $\overline{A + B}$?,The expression $\overline{A + B}$ is equivalent to $\overline{A} \cdot \overline{B}$.
"In a half-wave rectifier circuit, what is the formula for the average DC voltage ($V_{DC}$) output?",$V_{DC} = \frac{V_{peak}}{\pi}$.
"For a Common Emitter (CE) transistor amplifier, what is the formula for voltage gain ($A_V$)?",$A_V = -\frac{R_C}{R_E}$.
What is the formula for calculating inductive reactance ($X_L$)?,$X_L = 2\pi f L$.
What is the formula for calculating capacitive reactance ($X_C$)?,$X_C = \frac{1}{2\pi f C}$.
"In South African vocational education, what does the acronym SAQA stand for?",South African Qualifications Authority.
"In the NATED program assessment structure, what is the weighting for Internal Continuous Assessment (ICASS) and the final Examination Marks (EISA)?",ICASS is weighted at 40% and the final Examination Mark is weighted at 60%.
What is the Power Rule for differentiation for a function $x^n$?,The derivative is $n \cdot x^{n-1}$.
What is the Power Rule for integration for a function $x^n$ (where $n \ne -1$)?,The integral is $\frac{x^{n+1}}{n+1} + C$.
What is the general form of the quadratic formula used to solve equations of the form $ax^2 + bx + c = 0$?,$x = \frac{-b \pm \sqrt{b^2 - 4ac}}{2a}$.
"In DC machine theory, what formula describes the relationship for back EMF ($E_b$)?",$E_b = V - I_a R_a$.
"In a Zener diode voltage regulator circuit, what formula is used to calculate the required series resistor ($R_s$)?",$R_s = \frac{V_{supply} - V_{zener}}{I_{zener}}$.
What does the term 'kettling' refer to in the context of policing protests?,It is a form of containment where police enclose a group of people in a small area.
Concept: Tri-fold disposable restraints,"An alternative to zip-tie cuffs in law enforcement, designed to lock in place and reduce the risk of over-tightening and injury."
What is the primary objective of using 'differentiation' as a strategy when policing protests?,"To distinguish between violent criminal behavior and lower-level acts of civil disobedience, allowing some non-violent illegal behavior to persist to de-escalate the situation."
What is the purpose of the Technology Acceptance Model (TAM)?,It is used to evaluate and measure the success of an information system based on users' perceived ease of use and usefulness.
"What is the formula for total energy consumption ($E$) over time, given power $P(t)$?","The total energy is the integral of power over time: $E = \int P(t) \, dt$."
"What is the formula for resistance ($R$) based on resistivity ($?$), length ($l$), and cross-sectional area ($A$)?",$R = \rho \frac{l}{A}$.
"In policing protests, policy should include a general prohibition on containing what two groups?",Media and legal observers.
"In a hydroelectric power plant, what is the function of the penstocks?",They are large pipes that carry water from the reservoir to the turbines.
"In statistics, what does the coefficient of determination, $R^2$, represent in a linear regression model?",It represents the proportion of the variance in the dependent variable that is predictable from the independent variable(s).
"In industrial wiring, what is the purpose of interlocking in a forward/reverse motor control circuit?","It prevents the forward and reverse contactors from being energized at the same time, which would cause a short circuit."
What are the two main types of heat load calculated in HVAC systems?,Sensible heat load ($Q_s$) and latent heat load ($Q_\ell$).
"In a transformer, what is the relationship between the primary voltage ($V_p$), secondary voltage ($V_s$), and the number of turns in the primary ($N_p$) and secondary ($N_s$) coils?",$\frac{V_s}{V_p} = \frac{N_s}{N_p}$.
What is the function of a full-wave bridge rectifier?,It converts an entire AC input waveform into a pulsating DC output by inverting the negative half-cycles.
The Chain Rule is used to differentiate ____- functions.,composite
"In an RLC series circuit, what is the formula for total impedance (Z)?",$Z = \sqrt{R^2 + (X_L - X_C)^2}$.
What is the condition for resonance in a series RLC circuit?,The resonant frequency occurs when the inductive reactance ($X_L$) equals the capacitive reactance ($X_C$).
"In South African education, what does DHET stand for?",Department of Higher Education and Training.
What is the purpose of a Programmable Logic Controller (PLC) in industrial automation?,"It is a ruggedized digital computer used for automating electromechanical processes, such as control of machinery on factory assembly lines."
What is the formula for calculating power (P) in a DC circuit?,"$P = V \times I$, where V is voltage and I is current."
"In a DC motor, torque ($T$) is proportional to the armature current ($I_a$) and what other quantity?",Magnetic flux ($\phi$).
"In a truth table for a logical AND gate with inputs A and B, when is the output Y equal to 1 (or ON)?",Only when both input A and input B are 1 (or ON).
The formula for the volume of a solid generated by rotating a curve $y=f(x)$ around the x-axis from $x=a$ to $x=b$ is given by the integral $V = \pi \int_a^b [f(x)]^2 dx$. What is this method called?,The Disk Method.
What is the main function of the 'dam' in a hydroelectric power plant?,"To store a large body of water, creating potential energy."
