"In AC circuit analysis, what term is used to describe quantities like voltage and current that vary over time as a sine wave?",Sinusoidal quantities.
"What three characteristics are essential for describing an alternating current (AC) wave, unlike a direct current (DC)?","Magnitude, frequency, and phase."
"In the context of the smart industrial revolution (Industry 4.0), what is the term for systems where physical machinery is connected and communicates via the Internet of Things (IoT)?",Cyber-physical systems.
What is the name for the practice of creating a virtual model of an entire factory to test processes before any physical construction begins?,Digital twin.
"What class of fire extinguisher, such as CO2 or dry powder, must be used on an electrical fire (Class E)?","A Class E fire requires a CO2 or dry powder extinguisher, as using water is extremely dangerous."
"For high-precision metalwork, a _____ file is used for a perfect fit, whereas a bastard file is used for rapid material removal.",dead smooth
What is the primary advantage of Alternating Current (AC) over Direct Current (DC) that led to its adoption for power grids?,"AC voltage can be easily stepped up or down with transformers, making it highly efficient for long-distance power transmission."
"In a _____ circuit, the current remains the same through every component.",series
"In a parallel circuit, the _____ remains the same across each branch.",voltage
"In modern industrial networking, what is the purpose of a DMZ (demilitarized zone)?","A DMZ is a security measure used to keep different networks, such as the corporate and control networks, separate from each other."
What networking tool is as crucial for a modern technician's cybersecurity toolkit as a fire extinguisher is for physical safety?,A firewall.
"What type of artificial intelligence systems, modeled on the human brain, are used to balance power across the grid in real-time?",Neural networks.
"In the South African education system, what are some of the documented 'institutional irregularities' that create systemic bottlenecks for learners?","Issues include bogus registrations, fake qualifications, backlogs of certificates, and poor auditing."
"According to the source material, the backlog for DHET certificates in South Africa dates as far back as what year?",1992.
"What is the term for the process of restoring a power station to operation without relying on the external transmission network, typically after a widespread outage?",Black start.
What is the primary function of a step-up substation in an electrical grid?,To use transformers to raise the voltage from generators so that power can be transmitted efficiently over long distances.
"A _____ is a regional or continent-wide transmission network designed to trade high volumes of electricity across great distances, often using HVDC technology.",super grid
High-voltage direct current (HVDC) is used for long-distance transmission because it minimizes what type of energy loss?,Resistive power loss.
"What phenomenon occurs when the power supplied by the grid drops below the demand, leading to a partial loss of power?",A brownout.
"In grid management, what is the term for requesting or incentivizing customers to reduce their electricity load, especially during peak times?",Demand response.
"According to the source material, what South African power utility is headquartered in Sunninghill, Sandton?",Eskom.
What is the term for a wide area electrical grid where all components operate at a synchronized frequency and are electrically tied together?,"A wide area synchronous grid, also known as an interconnection."
What is the primary purpose of a 'merit order' in the context of power generation for an electrical grid?,"To dispatch generators based on their marginal cost, using the cheapest power sources first to meet demand."
The process of replacing existing transmission lines with higher-capacity lines is known as _____.,reconductoring
What is the largest form of grid energy storage globally as of 2023?,Pumped-storage hydroelectricity (PSH).
"In power generation, what is cogeneration (or CHP)?","Cogeneration, or Combined Heat and Power (CHP), is the simultaneous production of electricity and useful heat from a single fuel source."
What component in a CHP plant uses hot exhaust gases from a turbine to heat water and generate steam for a steam turbine or industrial processes?,A heat recovery steam generator (HRSG).
What is the primary cause of an 'arc flash' event in electrical systems?,"An electrical fault, such as a short circuit, causes an arc that releases a massive amount of explosive energy."
"What type of meter allows for two-way communication, enabling remote reading and dynamic pricing?",A smart meter.
What is the primary function of Automatic Generation Control (AGC) in an electric power system?,To adjust the power output of multiple generators in response to changes in load to maintain a stable system frequency.
"If the frequency of a power grid is decreasing, what does this indicate about the relationship between generation and load?","It indicates that the load on the system is greater than the power being generated, causing the generators to slow down."
"In South Africa, what organization is responsible for the National Qualifications Framework (NQF) and the evaluation of foreign qualifications?",The South African Qualifications Authority (SAQA).
The NATED (National Accredited Technical Education Diploma) courses in South Africa are designed to give learners what kind of knowledge and skills?,"Technical, theoretical, practical, and workplace knowledge and skills in their chosen occupational area."
What is the general term for protective equipment like helmets and safety shoes that an electrician must wear?,Personal Protective Equipment (PPE).
What is the purpose of applying Prussian blue to a finely finished metal surface before marking it?,To create a high-contrast background that allows for incredibly sharp and accurate scribe lines.
"What is the term for a network of devices within a home, such as in-premises displays and hubs, that communicates with a smart meter?",A Home Area Network (HAN).
"According to the SAQA annual report, all qualifications on the NQF post-2014 must have at least one ____ pathway.",articulation
"In the context of the South African Department of Higher Education and Training (DHET), what does the acronym TVET stand for?",Technical and Vocational Education and Training.
"What is the term for the explosive energy release, with temperatures hotter than the sun, that can occur from an electrical fault?",An arc flash.
"In a series voltage regulator circuit, what component is used to establish a stable reference voltage?",A Zener diode.
"To control the speed of a DC motor using a DC drive, one typically adjusts the _____ voltage while keeping the field voltage constant.",armature
What is the primary purpose of a star-delta starter for a three-phase induction motor?,To reduce the high starting current by first connecting the motor windings in a star configuration and then switching to a delta configuration.
"In an Uninterruptible Power Supply (UPS) system, what is the function of the inverter?",The inverter converts the DC power from the battery into AC power to supply the load during a mains failure.
What is the main function of a charge controller in a solar power system with battery storage?,To regulate the voltage and current coming from the solar panels to prevent overcharging the batteries.
"In a hydroelectric power plant, what is the function of the penstocks?",Penstocks are large pipes or tunnels that carry water under pressure from the reservoir to the turbines.
"In a thermal power plant, what component uses waste heat from flue gases to preheat the air used for combustion, improving boiler efficiency?",The air pre-heater.
What does the Time Multiplier Setting (TMS) on an overcurrent relay control?,The TMS adjusts the operating time of the relay; a lower TMS results in a faster trip for a given fault current.
What is the 'pickup current' of a protective relay?,It is the minimum current at which the relay begins to operate.
"In a wind power system, what is the purpose of the gearbox?",The gearbox increases the rotational speed from the slow-turning turbine blades to a speed suitable for the generator.
What is the purpose of periodically transposing the conductors of a three-phase transmission line?,"To balance the inductance and capacitance among the phases, ensuring that each conductor carries a proportional amount of power."
What South African utility is responsible for the electricity distribution network in Johannesburg for customers not serviced by Eskom?,City Power Johannesburg.
"In South African vocational education, what is the 'Portfolio of Evidence' (PoE)?","A collection of a learner's work and assessments that accounts for a portion of their final mark, alongside external examinations."
What does the term 'firm capacity' refer to in the context of an electrical grid?,The maximum power output that is immediately available over a given time period.
"In the OPA model of cascading failures, what is the term for the amount of demand that is disconnected from the grid?",Load shed.
"What is the name of Eaton's learning platform that offers webinars, tutorials, and self-paced online courses?",Eaton University.
"For functional safety applications, Eaton's MTL5314 Trip Amplifier is designed to achieve a Safety Integrity Level of up to _____ in a simplex architecture.",SIL 2
"In South Africa, what government department is responsible for TVET colleges and university education?",The Department of Higher Education and Training (DHET).
What is the purpose of the 'merit order' system in power grid operations?,"To dispatch electricity from generators based on their marginal cost, using the cheapest sources first to meet demand."
